Model,Num Seeds,Test I2T R@1 Mean,Test I2T R@1 Std,Test I2T R@1 Formatted,Test I2T R@5 Mean,Test I2T R@5 Std,Test I2T R@5 Formatted,Test I2T R@10 Mean,Test I2T R@10 Std,Test I2T R@10 Formatted,Test T2I R@1 Mean,Test T2I R@1 Std,Test T2I R@1 Formatted,Test T2I R@5 Mean,Test T2I R@5 Std,Test T2I R@5 Formatted,Test T2I R@10 Mean,Test T2I R@10 Std,Test T2I R@10 Formatted,Test Mean Recall Mean,Test Mean Recall Std,Test Mean Recall Formatted,Full Val MR Mean,Full Val MR Std,Full Val MR Formatted,Training Time (s) Mean,Training Time (s) Std,Training Time (s) Formatted,Throughput (samples/s) Mean,Throughput (samples/s) Std,Throughput (samples/s) Formatted
Full HEDO-HVSC (Ours),3,26.733333333333334,1.866071333637121,26.73 ± 1.87,56.83333333333332,0.4714045207910317,56.83 ± 0.47,70.46666666666665,0.8013876853447552,70.47 ± 0.80,20.706666666666667,0.17913371790059265,20.71 ± 0.18,49.97333333333333,0.40144184579532627,49.97 ± 0.40,64.96,0.3374413529291659,64.96 ± 0.34,48.27888888888889,0.5897666414422106,48.28 ± 0.59,48.33888888888888,0.339087373568497,48.34 ± 0.34,1069.2585135156671,1.0780309291911423,1069.26 ± 1.08,155.25258363714678,0.022622570403893014,155.25 ± 0.02
HEDO-HVSC w/o HEDO,3,26.700000000000003,0.8164965809277275,26.70 ± 0.82,57.06666666666667,0.8498365855987942,57.07 ± 0.85,70.03333333333333,1.1085526098877267,70.03 ± 1.11,20.293333333333333,0.3638070306571266,20.29 ± 0.36,49.94666666666666,0.20677416559027598,49.95 ± 0.21,65.27333333333333,0.31678944988044677,65.27 ± 0.32,48.21888888888889,0.432129381631397,48.22 ± 0.43,47.96111111111111,0.2094849651342211,47.96 ± 0.21,1069.044155884,4.546249965911876,1069.04 ± 4.55,155.86214474768602,0.6916316415189963,155.86 ± 0.69
HEDO-HVSC w/o HVSC,3,27.200000000000003,0.9899494936611672,27.20 ± 0.99,56.96666666666666,0.188561808316412,56.97 ± 0.19,70.3,0.45460605656619335,70.30 ± 0.45,20.66,0.5324158775493697,20.66 ± 0.53,50.326666666666675,0.22291004663067,50.33 ± 0.22,65.10000000000001,0.24055491403558305,65.10 ± 0.24,48.425555555555555,0.28990845724167336,48.43 ± 0.29,48.63333333333333,0.46396838972786225,48.63 ± 0.46,1054.3401505646664,1.1033330858276338,1054.34 ± 1.10,156.48763236042143,0.6094499149533876,156.49 ± 0.61
SSD Baseline,3,26.53333333333333,0.32998316455372184,26.53 ± 0.33,57.29999999999999,0.804155872120984,57.30 ± 0.80,70.1,1.2247448713915832,70.10 ± 1.22,20.453333333333333,0.5648205221326719,20.45 ± 0.56,49.89333333333334,0.1892675942210462,49.89 ± 0.19,65.2,0.43297421016344884,65.20 ± 0.43,48.24666666666667,0.46975959178506743,48.25 ± 0.47,47.94,0.11365966091150373,47.94 ± 0.11,1048.9299126436667,1.3044852164333836,1048.93 ± 1.30,156.03663707537473,0.6461044349950317,156.04 ± 0.65
