Model,SD-NPF,VCM-SSD,I2T R@1,I2T R@5,I2T R@10,T2I R@1,T2I R@5,T2I R@10,Mean Recall,Latency (ms),Params (M)
Vanilla CLIP (ViT-B/32),No,No,84.6,95.8,98.1,66.2,88.4,93.5,87.77,520.4,151.2
Mamba-2 Baseline,No,No,73.4,90.2,94.6,55.8,81.2,88.0,80.53,642.1,182.4
PH-SSD (w/o SD-NPF),No,Yes,78.8,93.6,96.8,60.4,85.1,90.9,84.27,718.5,196.8
PH-SSD (w/o VCM-SSD),Yes,No,79.5,94.1,97.2,61.2,85.7,91.4,84.85,794.2,195.1
\textbf{Full PH-SSD (Ours)},Yes,Yes,83.2,96.4,98.6,64.8,88.6,93.2,87.47,871.3,211.06
