Model / Variant,Accuracy (%),R@1,R@5,R@10,Avg KL Loss
PH-SSD (Proposed),20.00,2.50,12.50,22.50,0.0003
Baseline Mamba-2,20.00,2.50,12.50,25.00,0.0000
VL-Mamba,22.50,2.50,12.50,25.00,0.0000
CLIP Dual-Encoder,22.50,35.00,77.50,92.50,0.0000
