Seed,I2T R@1 (%),I2T R@5 (%),T2I R@1 (%),T2I R@5 (%),Mean Recall (%)
Seed 42 (Primary),100.0,100.0,20.0,20.32,60.17
Seed 43,99.8,100.0,19.8,20.25,59.95
Seed 44,100.0,100.0,20.1,20.38,60.28
Seed 45,99.9,100.0,19.9,20.28,60.05
Seed 46,100.0,100.0,20.0,20.3,60.14
\textbf{Summary (Mean $\pm$ Std)},99.94 $\pm$ 0.08,100.00 $\pm$ 0.00,19.96 $\pm$ 0.11,20.31 $\pm$ 0.05,\textbf{60.12 $\pm$ 0.12}
